"Food Name","Vote Count"
"White Grapes",12
"Sweet Potatoes",11
"Oranges",11
"Carrots",11
"Red Grapes",10
"Red Peppers",7
"Pink Lady Apples",4
"Golden Delicious Apples",4
"Granny Smith Apples",2
"Kiwis",0
"Potatoes",0
"Bananas",0
"Spinach",0
